LON,LAT,EDO,CLAVE,ESTACION,nov-23
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",22.35
-99.043889,19.3375,DF,MEYEHUALCO,"Meyehualco, Cd. de Méx. UNAM*",26.53
-99.026944,19.187222,DF,MILPAALTADF,"Milpa Alta, Cd. de Méx. SEGIAGUA",40.85
-99.021944,19.190556,DF,MLPDF,"Milpa Alta, Cd. de Méx.",55.37
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo Mezontepec, Cd. de Méx.",87.35
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de México Sur, Cd. de Méx.",35.78
-99.2275,19.294167,DF,PADIERNA,"Padierna, Cd. de Méx. UNAM*",20.82
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",0
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",16.95
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",10.92
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",22.61
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",8.25
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",33.79
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",39.41
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",33.79
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",44.17
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",37.09
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",49.01
-99.264722,19.288611,DF,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",20.56
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",25.66
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",47.3
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de Méx.",40.12
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",28.91
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",0
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",24.8
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",62.99
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",39.1
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",55.88
-99.17,19.4,DF,RCMDF,"Radiocomunicación, Cd. de Méx.",8.85
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de Méx.",0.76
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de Méx.",43.95
