LON,LAT,EDO,CLAVE,ESTACION,jun-19
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",40.5
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",30.2
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",66.3
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",24.4
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",3.03
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",2.79
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",12
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",54.79
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",47
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",44.5
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",2
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",41
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",24.4
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",14.03
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",23.2
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",3.73
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",21.31
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",4
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",21.8
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",7
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",67.02
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",19.31
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",45.53
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",18.29
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",8.6
-104.43,29.583333,CHIH,OjinagaC,"Ojinaga Río Conchos, Chih. CILA*",45.75
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",57
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",7.04
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",41.25
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",68.4
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",24.4
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",11.3
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",37.5
-107.816667,28.95,CHIH,TEMOSACHICob,"Observatorio de Temósachic, Chih. SMN*",2
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",6.43
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",16.15
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",35.5
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",7.05
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",43.51
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",13
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",142.21
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",181.12
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",411.02
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",49.4
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",170.4
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",99.6
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",523.51
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",174.73
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",255.4
-91.949722,17.85,CHIS,CATAZAJA,"Catazajá, Chis. SGT*",168
-93.117222,16.757778,CHIS,CENTRO2APTE,"Centro Segunda Poniente, Chis. SGT*",151.9
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",296.8
-91.710278,16.383056,CHIS,CHAYABE,"Finca Chayabé, Chis. SGT*",399
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",197.6
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",124.81
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",194.4
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",151.8
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",144.21
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",398.8
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",317.52
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",347.4
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",170.8
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",404.02
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",584
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",175.4
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",615.9
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",522.6
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",88.02
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",397.22
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",443.1
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",335.2
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",310.96
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",334.4
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",312.13
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",168.1
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",465.53
-93.105833,16.741944,CHIS,MODULO5,"Módulo Cinco, Chis. SGT*",187.6
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",218.2
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",236.9
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",326.4
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",260.1
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",143.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",90.61
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",284.83
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",299.21
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",154.6
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",205.4
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",187.2
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",272.6
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",260.8
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",424.2
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",403.6
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",79.7
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",224
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",286.61
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",195.9
-93.1,16.786111,CHIS,SECTEC103,"Secundaria Técnica 103, Chis. SGT*",158.1
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",272.8
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",251.2
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",361.6
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",102.65
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",673.7
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",149.01
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",168.8
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",722.51
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",324.3
