LON,LAT,EDO,CLAVE,ESTACION,sep-19
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de Méx.",154.67
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora Santa Cruz Meyehualco, Cd. de Méx.",68.06
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",28.96
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",87.4
-99.17,19.262778,DF,SPEDROMARTIR,"San Pedro Mártir, Cd. de Méx. SEGIAGUA",52.062
-99.009722,19.281389,DF,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",34.03
-99.186389,19.455556,DF,TACUBA,"Tacuba, Cd. de Méx. UNAM*",87.85
-99.141389,19.344444,DF,TAXQUENA,"Taxqueña, Cd. de Méx. UNAM*",85.71
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",92.82
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",180.84
-99.220833,19.337778,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",99.34
-99.099722,19.385,DF,TEZDF,"Tezontle, Cd. de Méx. SMN*",47.75
