LON,LAT,EDO,CLAVE,ESTACION,ene-21
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",7
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",0
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",9.02
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",13
-103.338333,25.695833,COAH,CUICL,"El Cuije, Coah.",0
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",0.01
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",1
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",0.01
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",0.01
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",4.1
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos Múzquiz, Coah. SMN*",7
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",27.9
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",3
-100.556944,28.667778,COAH,RIOESCONDIDOC,"Río Escondido Villa de Fuentes, Coah. CILA*",13
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",1.01
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",0.6
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jiménez, Coah. CILA*",10.5
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",6.52
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",5
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",0.7
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",0.2
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",2.9
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",0.5
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",9.52
-103.613333,19.249722,COL,BVSCM,"Buenavista, Col.",0
-103.726389,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",0
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",3.01
-103.720833,19.218333,COL,CMDCM,"Observatorio de Colima, Col.",1.11
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",0.9
-103.809167,19.204722,COL,CQMCM,"Coquimatlán, Col.",0.01
-103.605,19.322222,COL,CUACM,"Cuauhtémoc, Col.",0
